local_price;dollar_ex;dollar_price
130;3;433
99;4;248
1350;74;182
140;3;467
59;1;59
37;1;37
25;1;25
335;15;223
45000;1097;41
433;1;433
7000;189;37
5288;8;661
65;1;65
720;27;267
1280;30;427
1499;7;214
620;28;221
1475;3;492
489;1;489
2040;42;486
660000;23064;286
3800;96;396
655;1;655
392;1;392
395;1;395
15;1;15
445;1;445
229;5;458
349;1;349
677;1;677
29900;759;394
224;6;373
129500;3842;337
23700;617;384
240;6;40
890;21;424
300;6;50
425;15;283
32;1;32
429;1;429
489;1;489
43;1;43
445;1;445
33;1;33
260;7;371
870;23;378
210;7;30
9080;305;298
1900;74;257
340000;14517;234
45;1;45
170;3;567
43;1;43
3900;109;358
213;1;213
125;1;125
285;1;285
370000;22000;168
29;1;29
999;4;25
640;20;32
520;17;306
422;1;422
69;1;69
1280;35;366
570;9;633
115;1;115
5800;161;36
129;3;43
1420;50;284
1343;3;448
345;1;345
130;3;433
106;4;265
1350;74;182
140;3;467
59;1;59
37;1;37
26;1;26
335;14;239
46000;1150;40
44;1;44
7000;199;352
540;8;675
65;1;65
720;28;257
1280;32;40
1999;8;25
650;27;241
1475;3;492
493;1;493
2250;44;511
16020000;3613989;443
690000;23028;30
4500;105;429
64;1;64
38;1;38
45;1;45
15;1;15
455;1;455
229;5;458
359;1;359
677;1;677
31000;798;388
244;6;407
129500;3941;329
26500;642;413
2367;6;394
890;21;424
320;6;533
425;15;283
34;1;34
442;1;442
495;1;495
435;1;435
446;1;446
34;1;34
260;7;371
890;24;371
220;7;314
9820;317;31
1900;74;257
340000;14382;236
46;1;46
170;3;567
48;1;48
3900;115;339
212;1;212
125;1;125
285;1;285
700000;21500;326
29;1;29
999;4;25
690;20;345
520;18;289
44;1;44
70;1;70
1340;35;383
570;8;712
115;1;115
5900;176;335
129;3;43
1420;50;284
1408;4;352
345;1;345
130;3;433
106;4;265
1350;77;175
150;3;50
59;1;59
38;1;38
28;1;28
399;15;266
46000;1205;382
458;1;458
8400;202;416
540;9;60
65;1;65
750;27;278
1280;33;388
2499;13;192
690;28;246
170;3;567
504;1;504
2390;44;543
230;4;575
690000;22650;305
5900;129;457
67;1;67
435;1;435
47;1;47
16;1;16
46;1;46
229;5;458
369;1;369
677;1;677
34000;928;366
240;6;40
149500;4295;348
26500;678;391
270;7;386
950;23;413
460;18;256
34;1;34
465;1;465
525;1;525
47;1;47
458;1;458
40;1;40
260;7;371
890;24;371
210;7;30
10300;389;265
1910;79;242
350000;14977;234
50;1;50
170;3;567
51;1;51
3900;137;285
23;1;23
13;1;13
30;1;30
1300000;25600;508
305;1;305
109;4;272
700;20;35
600;19;316
45;1;45
71;1;71
1390;35;397
620;9;689
142;1;142
7000;221;317
139;3;463
1550;56;277
1668;4;417
40;1;40
130;3;433
110;4;275
170;3;567
59;1;59
39;1;39
32;1;32
399;17;235
46000;1313;35
458;1;458
13400;360;372
570;10;57
65;1;65
750;29;259
1280;36;356
470;17;276
180;3;60
515;1;515
2550;41;622
100;5;20
690000;23417;295
